observation_date,HPI,Unemp,FF,10yr,gdp,Y
1/1/80,,6.3,15.04666667,11.95580645,,
4/1/80,0.0158,7.333333333,12.68666667,10.47761905,-0.020604767,
7/1/80,0.028745816,7.666666667,9.836666667,10.94171875,-0.001188486,
10/1/80,0.002583732,7.4,15.85333333,12.40557377,0.018649251,
1/1/81,0.005249594,7.433333333,16.57,12.95065574,0.019594381,
4/1/81,0.02012913,7.4,17.78,13.74047619,-0.00741078,
7/1/81,0.01610201,7.4,17.57666667,14.8384375,0.011975244,
10/1/81,-0.000366401,8.233333333,13.58666667,14.11672131,-0.010895461,
1/1/82,0.01649409,8.833333333,14.22666667,14.26803279,-0.015535406,-1.962483014
4/1/82,0.008473812,9.433333333,14.51333333,13.94206349,0.004561966,-8.904647058
7/1/82,-0.009475284,9.9,11.00666667,13.1125,-0.003822953,-0.147030369
10/1/82,0.012543994,10.66666667,9.286666667,10.66344262,0.000399425,-7.983576885
1/1/83,0.017825312,10.36666667,8.653333333,10.55587302,0.013178543,-8.455814111
4/1/83,0.010595447,10.13333333,8.803333333,10.55,0.022756054,-4.626887894
7/1/83,0.008491465,9.366666667,9.46,11.63640625,0.019990688,0.906722362
10/1/83,0.005498754,8.533333333,9.43,11.68916667,0.020862193,3.961971432
1/1/84,0.015209775,7.866666667,9.686666667,11.95451613,0.019547696,7.547879696
4/1/84,0.01304604,7.433333333,10.55666667,13.21396825,0.017277909,13.88442335
7/1/84,0.009222333,7.433333333,11.39,12.8731746,0.009640641,10.63183914
10/1/84,0.008067836,7.3,9.266666667,11.76065574,0.008208628,14.2804934
1/1/85,0.014209882,7.233333333,8.476666667,11.5865,0.009690868,15.35262932
4/1/85,0.015138095,7.3,7.923333333,10.82349206,0.008804553,13.34771597
7/1/85,0.015546918,7.2,7.9,10.33555556,0.015271243,10.3840477
10/1/85,0.011013044,7.033333333,8.103333333,9.766129032,0.00743292,6.02214883
1/1/86,0.019313968,7.033333333,7.826666667,8.567,0.009335039,1.952505698
4/1/86,0.020842807,7.166666667,6.92,7.59796875,0.004503839,1.575180832
7/1/86,0.015145891,6.966666667,6.206666667,7.30546875,0.009570324,3.615155693
10/1/86,0.015431873,6.833333333,6.266666667,7.264032258,0.005370757,2.670213183
1/1/87,0.019878997,6.6,6.22,7.195409836,0.007451714,1.880926413
4/1/87,0.01539548,6.266666667,6.65,8.342698413,0.010788979,6.159389497
7/1/87,0.011336765,6,6.843333333,8.8696875,0.00867612,8.459459459
10/1/87,0.006395709,5.833333333,6.916666667,9.129032258,0.017170526,9.972306646
1/1/88,0.015716824,5.7,6.663333333,8.410967742,0.005166263,6.977804758
4/1/88,0.019846609,5.466666667,7.156666667,8.912857143,0.013138673,8.97480932
7/1/88,0.010290916,5.466666667,7.983333333,9.10359375,0.005859288,7.44996322
10/1/88,0.009271956,5.333333333,8.47,8.95704918,0.013324958,4.461108411
1/1/89,0.011645209,5.2,9.443333333,9.211639344,0.010166025,0.261855304
4/1/89,0.01374944,5.233333333,9.726666667,8.75796875,0.007632691,-3.089530005
7/1/89,0.021196064,5.233333333,9.083333333,8.107460317,0.007408807,-2.359305791
10/1/89,0.008339511,5.366666667,8.613333333,7.907096774,0.001970468,-1.098986888
1/1/90,0.005574956,5.3,8.25,8.423870968,0.010927903,2.588618957
4/1/90,0.004081881,5.333333333,8.243333333,8.674126984,0.003629082,1.249935792
7/1/90,0.006006917,5.7,8.16,8.701269841,0.000665229,1.271122956
10/1/90,-0.003920386,6.133333333,7.743333333,8.405967742,-0.009103794,0.673810556
1/1/91,0.00835604,6.6,6.426666667,8.023166667,-0.004678438,2.285356911
4/1/91,0.006785564,6.833333333,5.863333333,8.12546875,0.007797188,3.436757211
7/1/91,0.001670047,6.866666667,5.643333333,7.95,0.005052966,2.790660055
10/1/91,0.014112183,7.1,4.816666667,7.345,0.003484987,3.173896638
1/1/92,0.007691856,7.366666667,4.023333333,7.306935484,0.011970517,7.403242857
4/1/92,-0.000174805,7.6,3.77,7.376031746,0.010843533,10.11093553
7/1/92,0.011480856,7.633333333,3.256666667,6.61875,0.009882719,8.257399511
10/1/92,0.005012676,7.366666667,3.036666667,6.740322581,0.010431647,10.50266199
1/1/93,0.000401307,7.133333333,3.04,6.258196721,0.001674003,9.642578346
4/1/93,0.009455587,7.066666667,3,5.988095238,0.005824196,8.273575121
7/1/93,0.008061311,6.8,3.06,5.6153125,0.004773147,5.803363572
10/1/93,0.008278425,6.633333333,2.99,5.615967742,0.013601133,7.082919985
1/1/94,0.006367292,6.566666667,3.213333333,6.090322581,0.009702163,8.069988377
4/1/94,0.005994006,6.2,3.94,7.089516129,0.013550459,9.929289828
7/1/94,0.004137703,6,4.486666667,7.32796875,0.005845152,9.974073746
10/1/94,-0.000824131,5.633333333,5.166666667,7.837213115,0.011455244,10.32533026
1/1/95,0.005223799,5.466666667,5.81,7.471290323,0.003547561,5.537702443
4/1/95,0.016355779,5.666666667,6.02,6.60015873,0.002983409,0.616983851
7/1/95,0.015446717,5.666666667,5.796666667,6.329206349,0.008506775,1.401496292
10/1/95,0.007791382,5.566666667,5.72,5.898548387,0.00679021,-0.621592119
1/1/96,0.011307458,5.533333333,5.363333333,5.910483871,0.007489468,0.860255413
4/1/96,0.001716158,5.5,5.243333333,6.7140625,0.016678474,4.54854853
7/1/96,0.004464749,5.266666667,5.306666667,6.7759375,0.008969914,4.310845284
10/1/96,0.007752739,5.333333333,5.28,6.354193548,0.01038382,3.312085618
1/1/97,0.008359832,5.233333333,5.276666667,6.567,0.006455644,5.070476168
4/1/97,0.008392249,5,5.523333333,6.6996875,0.016620015,5.572619504
7/1/97,0.013769797,4.866666667,5.533333333,6.2421875,0.01250848,3.733276078
10/1/97,0.012935967,4.666666667,5.506666667,5.906290323,0.008588165,3.002643476
1/1/98,0.014931971,4.633333333,5.52,5.590983607,0.009994799,2.525074426
4/1/98,0.009001597,4.4,5.5,5.593015873,0.009258071,2.618887407
7/1/98,0.013957504,4.533333333,5.533333333,5.20734375,0.012525674,1.002187735
10/1/98,0.011825922,4.433333333,4.86,4.661935484,0.016158802,0.387616453
1/1/99,0.010518934,4.3,4.733333333,5.000819672,0.009464719,2.975541194
4/1/99,0.013416609,4.266666667,4.746666667,5.54125,0.007691586,6.289228692
7/1/99,0.014106368,4.233333333,5.093333333,5.88296875,0.013096648,6.51840958
10/1/99,0.010353831,4.066666667,5.306666667,6.14483871,0.01699585,7.127701158
1/1/00,0.019069685,4.033333333,5.676666667,6.468412698,0.003617602,7.163474022
4/1/00,0.01630815,3.933333333,6.273333333,6.184920635,0.018311647,3.578285634
7/1/00,0.018197462,4,6.52,5.88984127,0.001335553,1.125807424
10/1/00,0.015379415,3.9,6.473333333,5.570645161,0.006228896,0.684144218
1/1/01,0.024675433,4.233333333,5.593333333,5.044193548,-0.002851777,1.180676433
4/1/01,0.016771574,4.4,4.326666667,5.276190476,0.005845558,6.793280261
7/1/01,0.015496445,4.833333333,3.496666667,4.995737705,-0.004150381,8.109246167
10/1/01,0.012388893,5.5,2.133333333,4.762096774,0.002723714,10.53120634
1/1/02,0.014373956,5.7,1.733333333,5.079166667,0.008745142,11.45275323
4/1/02,0.017042626,5.833333333,1.75,5.10609375,0.006057325,10.56294076
7/1/02,0.0198072,5.733333333,1.74,4.27234375,0.004445713,7.712040694
10/1/02,0.014216084,5.866666667,1.443333333,4.00483871,0.001548226,8.372255844
1/1/03,0.012160047,5.866666667,1.25,3.92,0.005547667,9.201581458
4/1/03,0.012193806,6.133333333,1.246666667,3.620634921,0.008602598,6.961894639
7/1/03,0.015316276,6.133333333,1.016666667,4.22765625,0.016982094,10.05535355
10/1/03,0.028280424,5.833333333,0.996666667,4.28516129,0.01148167,10.91190706
1/1/04,0.015657442,5.7,1.003333333,4.01,0.005337473,12.39342359
4/1/04,0.024263548,5.6,1.01,4.597096774,0.007620764,16.57425689
7/1/04,0.038281582,5.433333333,1.433333333,4.30140625,0.00945328,13.0673075
10/1/04,0.021302745,5.433333333,1.95,4.175806452,0.010016741,10.93789664
1/1/05,0.023049153,5.3,2.47,4.303606557,0.011069635,8.472983515
4/1/05,0.031970081,5.1,2.943333333,4.15859375,0.004615613,5.364736916
7/1/05,0.030161328,4.966666667,3.46,4.21515625,0.008913338,4.613002408
10/1/05,0.022639582,4.966666667,3.98,4.488196721,0.006314631,3.670514249
1/1/06,0.01584087,4.733333333,4.456666667,4.577096774,0.013302871,1.814129873
4/1/06,0.010213835,4.633333333,4.906666667,5.072698413,0.002336997,1.790820817
7/1/06,0.008272282,4.633333333,5.246666667,4.893492063,0.001546328,-1.085972364
10/1/06,0.010215299,4.433333333,5.246666667,4.630645161,0.008518652,-3.273823241
1/1/07,0.003715696,4.5,5.256666667,4.679032258,0.002354931,-3.415934199
4/1/07,-0.000740388,4.5,5.25,4.84609375,0.005728724,-2.965617596
7/1/07,-0.011166975,4.666666667,5.073333333,4.738412698,0.005432713,-5.182405724
10/1/07,-0.003157782,4.8,4.496666667,4.266612903,0.006078419,-7.232485525
1/1/08,-0.007275168,5,3.176666667,3.665245902,-0.005746998,-4.430220456
4/1/08,-0.025230536,5.333333333,2.086666667,3.8815625,0.005163871,1.55423304
7/1/08,-0.031515286,6,1.94,3.8621875,-0.005413556,-4.043577264
10/1/08,-0.009223718,6.866666667,0.506666667,3.234677419,-0.021638112,-8.031458432
1/1/09,0.007372499,8.266666667,0.183333333,2.736229508,-0.01122695,-7.890629258
4/1/09,-0.026404156,9.3,0.18,3.320793651,-0.001439897,-2.783806591
7/1/09,-0.026442237,9.633333333,0.156666667,3.5178125,0.003641111,-7.310972194
10/1/09,-0.007478956,9.933333333,0.12,3.464032258,0.010983841,-16.72743869
1/1/10,-0.011958876,9.833333333,0.133333333,3.717868852,0.003847797,-10.41599638
4/1/10,-0.008985087,9.633333333,0.193333333,3.4925,0.009220283,-5.26242625
7/1/10,0.009471585,9.466666667,0.186666667,2.78453125,0.007372113,-7.147032452
10/1/10,-0.007253086,9.5,0.186666667,2.878387097,0.005019025,-1.539403823
1/1/11,-0.027514379,9.033333333,0.156666667,3.457419355,-0.002404413,2.058868935
4/1/11,-0.017551151,9.066666667,0.093333333,3.201428571,0.007149733,-5.583420412
7/1/11,0.007451759,9,0.083333333,2.41421875,-0.000277787,-12.71095058
10/1/11,0.004392765,8.633333333,0.073333333,2.046721311,0.01159285,-7.017553634
1/1/12,-0.01054798,8.266666667,0.103333333,2.04,0.007829928,-3.982183456
4/1/12,-0.004160166,8.2,0.153333333,1.82578125,0.004302015,-6.469635037
7/1/12,0.012891645,8.033333333,0.143333333,1.641269841,0.001349482,-7.672495905
10/1/12,0.0080232,7.8,0.16,1.70704918,0.001138732,-3.692651515
1/1/13,0.005178366,7.733333333,0.143333333,1.951,0.008856751,-0.366096047
4/1/13,0.015582268,7.533333333,0.116666667,1.98625,0.001233965,-1.820637035
7/1/13,0.015531062,7.233333333,0.083333333,2.7065625,0.007834152,3.261067609
10/1/13,0.00823261,6.933333333,0.086666667,2.744193548,0.007982489,4.626713107
1/1/14,0.008777027,6.666666667,0.073333333,2.765409836,-0.002827052,5.426972085
4/1/14,0.019099012,6.2,0.093333333,2.620952381,0.013536813,5.141416445
7/1/14,0.01433841,6.066666667,0.09,2.49953125,0.012209323,5.364762527
10/1/14,0.008358261,5.7,0.1,2.275967742,0.005627937,6.120585498
1/1/15,0.010179449,5.533333333,0.11,1.968852459,0.007848201,4.823253704
4/1/15,0.01733222,5.433333333,0.123333333,2.164375,0.007413596,5.419857671
7/1/15,0.015282298,5.1,0.136666667,2.223125,0.003306566,7.771332427
10/1/15,0.008864111,5.033333333,0.16,2.190483871,0.000325255,7.952221241
1/1/16,0.009200674,4.933333333,0.36,1.914262295,0.005033917,4.176577365
4/1/16,0.019383453,4.9,0.373333333,1.75015625,0.004703466,2.408257124
7/1/16,0.017886878,4.9,0.396666667,1.564375,0.005422912,2.146131374
10/1/16,0.009129288,4.766666667,0.45,2.138688525,0.005027157,5.115686268
1/1/17,0.008759086,4.566666667,0.7,2.446612903,0.005667846,5.212363118
4/1/17,0.024934553,4.366666667,0.95,2.260952381,0.005343968,3.151937079
7/1/17,0.017019447,4.3,1.153333333,2.241428571,0.007907975,4.006846588
10/1/17,0.009697633,4.133333333,1.203333333,2.371451613,0.008748616,5.156880657
1/1/18,0.014751515,4.066666667,1.446666667,2.75852459,0.006319565,5.500816771
4/1/18,0.023201068,3.933333333,1.736666667,2.920625,0.008671157,5.299191401
7/1/18,0.015583122,3.766666667,1.923333333,2.923809524,0.007236478,5.847135899
10/1/18,0.006025503,3.8,2.22,3.041147541,0.002713327,5.785541476
1/1/19,0.010655585,3.866666667,2.403333333,2.65295082,0.007652069,1.582476993
4/1/19,0.018376019,3.633333333,2.396666667,2.338888889,0.004996967,-1.159916605
7/1/19,0.010465772,3.633333333,2.19,1.79796875,0.005217786,-1.109513273
